t,v,θ_{v}
0.799,0.817,-167.3
0.844,0.767,-166.4
0.888,0.854,-164.3
0.933,0.953,-166.0
0.977,1.010,-165.3
1.021,0.953,-166.0
1.066,0.935,-164.1
1.110,0.943,-162.6
1.155,0.960,-164.5
1.199,1.041,-164.2
1.244,1.073,-163.3
1.288,0.902,-160.0
1.332,0.945,-157.6
1.377,1.098,-159.4
1.421,1.065,-160.3
1.466,1.074,-159.0
1.510,1.016,-159.3
1.554,1.012,-156.0
1.599,1.034,-153.4
1.643,1.023,-154.7
1.688,0.954,-152.7
1.732,1.103,-152.2
1.776,1.161,-152.3
1.821,1.126,-152.9
1.865,0.977,-153.4
1.910,1.106,-149.3
1.954,1.234,-148.6
1.998,1.001,-150.8
2.043,0.829,-150.3
