t,v,θ_{v}
0.093,2.275,-175.1
0.127,2.176,-175.7
0.160,2.014,-175.4
0.193,1.795,-172.7
0.227,1.507,-171.3
0.260,1.544,-170.3
0.293,1.588,-168.2
0.327,1.495,-162.3
0.360,1.522,-156.2
0.393,1.394,-149.3
0.427,1.428,-147.0
0.460,1.608,-145.7
0.493,1.629,-144.7
0.527,1.664,-146.9
0.560,1.697,-145.1
0.593,1.476,-142.1
0.627,1.457,-143.1
0.660,1.437,-144.2
0.693,1.419,-145.2

