t,v,θ_{v}
0.266,0.942,-171.5
0.311,1.019,-169.5
0.355,1.061,-171.2
0.400,0.973,-169.0
0.444,0.996,-169.2
0.489,1.019,-169.5
0.533,0.905,-168.1
0.577,0.961,-166.0
0.622,1.006,-166.6
0.666,0.938,-165.6
0.711,0.893,-164.9
0.755,0.887,-166.3
0.799,1.018,-164.1
0.844,0.951,-162.9
0.888,0.906,-162.0
0.933,0.967,-164.6
0.977,0.951,-162.9
1.021,0.952,-158.5
1.066,0.936,-161.1
1.110,0.965,-160.3
1.155,0.982,-157.7

